sku,parent_id,kind,variation_id,label,price
10001,949,EXTRA,2804,Roland Eco Sol Max 440cc Light Cyan,
10001,949,EXTRA,2805,Roland Eco Sol Max 440cc Light Magenta,
10001,949,EXTRA,2811,Roland Eco Sol Max 220cc Light Magenta,
10001,949,EXTRA,2812,Roland Eco Sol Max 220cc Metallic,
10002,937,EXTRA,2782,Roland Eco Sol Max 2 440cc Light Black,
10003,938,EXTRA,2790,Roland Eco Sol Max 3 500cc Light Cyan,
10003,938,EXTRA,2791,Roland Eco Sol Max 3 500cc Light Magenta,
10003,938,EXTRA,2792,Roland Eco Sol Max 3 500cc Light Black,
14215,516,EXTRA,2162,or 'Sheet' size here — A4,
14215,516,EXTRA,2163,or 'Sheet' size here — 203mm x 500mm,
14215,516,EXTRA,2164,or 'Sheet' size here — 305mm x 500mm,
14215,516,EXTRA,2165,Size / Format — 203mm x 1m,
14215,516,EXTRA,2166,Size / Format — 203mm x 5m,
14215,516,EXTRA,4521,Size / Format — 305mm x 1m,
14215,516,EXTRA,4522,Size / Format — 305mm x 5m,
14215,516,EXTRA,4523,Size / Format — 500mm x 1m,
14215,516,EXTRA,4524,Size / Format — 500mm x 5m,
14216,517,EXTRA,2167,or 'Sheet' size here — A4,
14216,517,EXTRA,2168,or 'Sheet' size here — 203mm x 500mm,
14216,517,EXTRA,2169,or 'Sheet' size here — 305mm x 500mm,
14216,517,EXTRA,2170,Size / Format — 203mm x 1m,
14216,517,EXTRA,2171,Size / Format — 203mm x 5m,
14216,517,EXTRA,4525,Size / Format — 305mm x 1m,
14216,517,EXTRA,4526,Size / Format — 305mm x 5m,
14216,517,EXTRA,4527,Size / Format — 500mm x 1m,
14216,517,EXTRA,4528,Size / Format — 500mm x 5m,
3101,523,EXTRA,3204,or 'Sheet' size here — A4,
3101,523,EXTRA,3205,or 'Sheet' size here — 203mm x 500mm,
3101,523,EXTRA,3206,or 'Sheet' size here — 305mm x 500mm,
3101,523,EXTRA,4529,Size / Format — 203mm x 1m,
3101,523,EXTRA,4530,Size / Format — 203mm x 5m,
3101,523,EXTRA,4531,Size / Format — 305mm x 1m,
3101,523,EXTRA,4532,Size / Format — 305mm x 5m,
3101,523,EXTRA,4533,Size / Format — 500mm x 1m,
3101,523,EXTRA,4534,Size / Format — 500mm x 5m,
3102,524,EXTRA,3207,or 'Sheet' size here — A4,
3102,524,EXTRA,3208,or 'Sheet' size here — 203mm x 500mm,
3102,524,EXTRA,3209,or 'Sheet' size here — 305mm x 500mm,
