product_id,type,site_sku,site_price,status,sage_price,sage_desc,note
438,product,ROLLEPRO,66.90,MATCH,66.9,"THE ROLLERPRO",
442,product,1,11.56,NOT_IN_SAGE,,,"plain code not in Sage"
443,product,054CGO1524,17.22,MATCH,17.22,"KERNOWJET 054CGO METALIK GOLD REMOVABLE 1524MM",
443,product,054CGO1524,17.22,MATCH,17.22,"KERNOWJET 054CGO METALIK GOLD REMOVABLE 1524MM",
444,product,054CSI1524,17.22,MATCH,17.22,"KERNOWJET 054CSI METALIK SILVER REMOVABLE 1524MM",
444,product,054CSI1524,17.22,MATCH,17.22,"KERNOWJET 054CSI METALIK SILVER REMOVABLE 1524MM",
446,product,056SSI1524,17.22,MATCH,17.22,"KERNOWJET 056SSI METALIK SILVER PERMANENT 1524MM",
446,product,056SSI1524,17.22,MATCH,17.22,"KERNOWJET 056SSI METALIK SILVER PERMANENT 1524MM",
447,product,100,11.56,NOT_IN_SAGE,,,"plain code not in Sage"
448,product,110,11.56,NOT_IN_SAGE,,,"plain code not in Sage"
449,product,123251370,40.88,MATCH,40.88,"ASLAN SC12325 LIGHT GOLD SPARKLE COLOUR 1370MM",
449,product,123251370,40.88,MATCH,40.88,"ASLAN SC12325 LIGHT GOLD SPARKLE COLOUR 1370MM",
450,product,123321370,40.88,MATCH,40.88,"ASLAN SC12332 HOT PINK SPARKLE COLOUR 1370MM",
450,product,123321370,40.88,MATCH,40.88,"ASLAN SC12332 HOT PINK SPARKLE COLOUR 1370MM",
451,product,123451370,40.88,MATCH,40.88,"ASLAN SC12345 SKY BLUE SPARKLE COLOUR 1370MM",
451,product,123451370,40.88,MATCH,40.88,"ASLAN SC12345 SKY BLUE SPARKLE COLOUR 1370MM",
452,product,123481370,40.88,MATCH,40.88,"ASLAN SC12348 BABY PINK SPARKLE COLOUR 1370MM",
452,product,123481370,40.88,MATCH,40.88,"ASLAN SC12348 BABY PINK SPARKLE COLOUR 1370MM",
453,product,123501370,40.88,MATCH,40.88,"ASLAN SC12350 SILVER SPARKLE COLOUR 1370MM",
453,product,123501370,40.88,MATCH,40.88,"ASLAN SC12350 SILVER SPARKLE COLOUR 1370MM",
454,product,123511370,40.88,MATCH,40.88,"ASLAN SC12351 GOLD SPARKLE COLOUR 1370MM",
454,product,123511370,40.88,MATCH,40.88,"ASLAN SC12351 GOLD SPARKLE COLOUR 1370MM",
455,product,123551370,40.88,MATCH,40.88,"ASLAN SC12355 GREEN SPARKLE COLOUR 1370MM",
455,product,123551370,40.88,MATCH,40.88,"ASLAN SC12355 GREEN SPARKLE COLOUR 1370MM",
